ID,duration,wav,semantics,transcript
22782,2.17575,slurp_real/audio--1504194618.flac,{'scenario': 'alarm'| 'action': 'query'| 'entities': []},what time is alarm set for
22783,2.56,slurp_real/audio--1505324843-headset.flac,{'scenario': 'alarm'| 'action': 'query'| 'entities': []},what time is alarm set for
22784,2.5596875,slurp_real/audio--1505324843.flac,{'scenario': 'alarm'| 'action': 'query'| 'entities': []},what time is alarm set for
22785,3.45,slurp_real/audio-1488551775.flac,{'scenario': 'email'| 'action': 'sendemail'| 'entities': [{'type': 'person'| 'filler': 'jan'}| {'type': 'event_name'| 'filler': 'meeting'}]},hey email jan about our meeting
22786,1.728,slurp_real/audio-1490703348-headset.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': []},we need milk
22787,1.79175,slurp_real/audio-1490703348.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': []},we need milk
22788,2.88,slurp_real/audio-1497439910-headset.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': []},we need milk
22789,3.007625,slurp_real/audio-1497439910.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': []},we need milk
22790,2.432,slurp_real/audio-1497017251-headset.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': []},we need milk
22791,4.864,slurp_real/audio-1502376345-headset.flac,{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'artist_name'| 'filler': 'a r rehman'}| {'type': 'music_descriptor'| 'filler': 'released current year'}]},hi play me playlist of a r rehman songs released current year
22792,4.2234375,slurp_real/audio-1502376345.flac,{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'artist_name'| 'filler': 'a r rehman'}| {'type': 'music_descriptor'| 'filler': 'released current year'}]},hi play me playlist of a r rehman songs released current year
22793,5.8871875,slurp_real/audio-1488988577.flac,{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'artist_name'| 'filler': 'a r rehman'}| {'type': 'music_descriptor'| 'filler': 'released current year'}]},hi play me playlist of a r rehman songs released current year
22794,1.6,slurp_real/audio-1498574135-headset.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many emails do i have
22795,1.79175,slurp_real/audio-1498574135.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many emails do i have
22796,1.856,slurp_real/audio-1501690763-headset.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many emails do i have
22797,1.85575,slurp_real/audio-1501690763.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many emails do i have
22798,1.5358125,slurp_real/audio-1501691485.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many emails do i have
22799,6.72,slurp_real/audio-1492783416-headset.flac,{'scenario': 'transport'| 'action': 'traffic'| 'entities': [{'type': 'place_name'| 'filler': 'I fifteen'}| {'type': 'place_name'| 'filler': 'las vegas'}]},is there heavy traffic on the i fifteen in las vegas right now
22800,6.7830625,slurp_real/audio-1492783416.flac,{'scenario': 'transport'| 'action': 'traffic'| 'entities': [{'type': 'place_name'| 'filler': 'I fifteen'}| {'type': 'place_name'| 'filler': 'las vegas'}]},is there heavy traffic on the i fifteen in las vegas right now
22801,0.896,slurp_real/audio-1494549000-headset.flac,{'scenario': 'qa'| 'action': 'definition'| 'entities': [{'type': 'definition_word'| 'filler': 'computer'}]},definition of computer
22802,0.895875,slurp_real/audio-1494549000.flac,{'scenario': 'qa'| 'action': 'definition'| 'entities': [{'type': 'definition_word'| 'filler': 'computer'}]},definition of computer
22803,1.6,slurp_real/audio-1495371563-headset.flac,{'scenario': 'qa'| 'action': 'definition'| 'entities': [{'type': 'definition_word'| 'filler': 'computer'}]},definition of computer
22804,1.6638125,slurp_real/audio-1495371563.flac,{'scenario': 'qa'| 'action': 'definition'| 'entities': [{'type': 'definition_word'| 'filler': 'computer'}]},definition of computer
