ID,duration,wav,semantics,transcript
119881,3.2,slurp_real/audio-1434542201-headset.flac,{'scenario': 'qa'| 'action': 'currency'| 'entities': [{'type': 'currency_name'| 'filler': 'american dollar'}| {'type': 'currency_name'| 'filler': 'japanese yen'}]},siri what is one american dollar in japanese yen
119882,3.1995625,slurp_real/audio-1434542201.flac,{'scenario': 'qa'| 'action': 'currency'| 'entities': [{'type': 'currency_name'| 'filler': 'american dollar'}| {'type': 'currency_name'| 'filler': 'japanese yen'}]},siri what is one american dollar in japanese yen
119883,3.712,slurp_real/audio-1499695168-headset.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many unread emails do i have
119884,3.6475,slurp_real/audio-1499695168.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many unread emails do i have
119885,2.88,slurp_real/audio-1501776817-headset.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many unread emails do i have
119886,2.815625,slurp_real/audio-1501776817.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many unread emails do i have
119887,3.2,slurp_real/audio-1501151379-headset.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many unread emails do i have
119888,3.692,slurp_real/audio-1501151379.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},how many unread emails do i have
119889,1.344,slurp_real/audio-1490201253-headset.flac,{'scenario': 'takeaway'| 'action': 'order'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}]},order me chinese food
119890,1.92,slurp_real/audio-1434528002-headset.flac,{'scenario': 'takeaway'| 'action': 'order'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}]},order me chinese food
119891,1.79175,slurp_real/audio-1434544138.flac,{'scenario': 'takeaway'| 'action': 'order'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}]},order me chinese food
119892,2.11175,slurp_real/audio-1497367612.flac,{'scenario': 'takeaway'| 'action': 'order'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}]},order me chinese food
119893,3.328,slurp_real/audio-1502299642-headset.flac,{'scenario': 'takeaway'| 'action': 'query'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}| {'type': 'business_type'| 'filler': 'restaurant'}| {'type': 'order_type'| 'filler': 'delivery'}]},does the nearby chinese restaurant do delivery
119894,2.815625,slurp_real/audio-1502299642.flac,{'scenario': 'takeaway'| 'action': 'query'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}| {'type': 'business_type'| 'filler': 'restaurant'}| {'type': 'order_type'| 'filler': 'delivery'}]},does the nearby chinese restaurant do delivery
119895,3.264,slurp_real/audio-1434527358-headset.flac,{'scenario': 'takeaway'| 'action': 'query'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}| {'type': 'business_type'| 'filler': 'restaurant'}| {'type': 'order_type'| 'filler': 'delivery'}]},does the nearby chinese restaurant do delivery
119896,3.456,slurp_real/audio-1434535033-headset.flac,{'scenario': 'takeaway'| 'action': 'query'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}| {'type': 'business_type'| 'filler': 'restaurant'}| {'type': 'order_type'| 'filler': 'delivery'}]},does the nearby chinese restaurant do delivery
119897,3.5195625,slurp_real/audio-1434535033.flac,{'scenario': 'takeaway'| 'action': 'query'| 'entities': [{'type': 'food_type'| 'filler': 'chinese'}| {'type': 'business_type'| 'filler': 'restaurant'}| {'type': 'order_type'| 'filler': 'delivery'}]},does the nearby chinese restaurant do delivery
119898,4.096,slurp_real/audio-1490184504-headset.flac,{'scenario': 'lists'| 'action': 'remove'| 'entities': [{'type': 'list_name'| 'filler': 'grocery'}]},remove pepper from my grocery list
119899,4.0954375,slurp_real/audio-1490184504.flac,{'scenario': 'lists'| 'action': 'remove'| 'entities': [{'type': 'list_name'| 'filler': 'grocery'}]},remove pepper from my grocery list
119900,12.032,slurp_real/audio-1502310029-headset.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},the weather updated to the using spb weatherit either updates forecasts from intellicast or weathercom both rather poor for my site
119901,13.16575,slurp_real/audio-1502310029.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},the weather updated to the using spb weatherit either updates forecasts from intellicast or weathercom both rather poor for my site
119902,2.624,slurp_real/audio-1490366035-headset.flac,{'scenario': 'lists'| 'action': 'remove'| 'entities': []},drop it from list
119903,2.944,slurp_real/audio-1501414241-headset.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}| {'type': 'timeofday'| 'filler': 'evening'}]},is there any program for tomorrow evening
